Timestamp,2) Are you the primary observer?,3) Photographic or physical evidence,4)  Duration -- How long did the phenomenon last?,5) Color and Brightness,6) Size/shape,"7) Smell, Sound, Heat",8) Behavior  /  path (free-verse),9) Weather conditions,10) Environment: Indoors or Outdoors?,11a) What is the approximate date and time of your observation?,DATE,11b) What is the precise date and (local) time of your observation?,12) What is the location of your observation?,Latitude,Longitude,Confidence,13) Permission to publish report,,RESERVED FOR ADDITIONAL COMMENTS BY RESEARCHERS
10/27/20 12:51,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,Yellow-green with shimmering color of both and hints of blue,It was a relatively constant sized sphere,"I saw the ball lightening from inside a car and we were inside a ""cyclone"" tornado with extremely loud wind noise and sounds of breaking material, so i noticed no sound from the ball lightening.",The ball lightening I saw was not a sharply outlined sphere but rather presented a slightly rough exterior like it was vibrating.,"A wide based tornodo hit Idabel Oklahoma about 1962. After the first wall passed by my cousin arrived in a car and picked me up to take me home. On the street as we drove slowly, seeing debris flying by, a bolt of lightning struck very near. Once our eyes had cleared, we saw a glowing sphere drifting across the road, ignoring the wind. It crossed the road slowly from right to left in front of us and, as it reached the line of parking meters on the left side of the road, disappeared. ","Outdoors in the downtown area of a small town. Yes, we were under power lines. ","About 5 PM, in late spring of 1962",1962,4/30/62 17:00,"Idabel, OK. Central Avenue, in the midst of the downtown area",33.894326,-94.827461,1,You may publish my anonymized report,,
10/28/20 13:13,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,golden yellow light in a moving approx 12 inch ball shapeball shape,"ball had an indistinct surface, appeared (blinked in) next to north wall of room and traveled slowly across room to south wall and disappeared. Did not appear to penetrate wall, just blinked out.","Happened during a severe thunder storm. No sound, no odor, during a lull in storm.","The ball was opaque, did not seem to emit light, traveled in a straight line about 5 feet off the floor at a constant speed. I could not see into it or even see a surface texture, no rays or fuzz.",It was in the middle of a summer thunderstorm that had been striking all around us. But it was quiet during this observation.,"This occurred in a rural area, in a smaller older house in the living room, in the middle of the afternoon, I think.",I think it was in the summer of 1955 or 1956. ,1955,,"About 1 mile north of Millbrook, NC. Where the main road crosses the railroad tracks.",35.864558,-78.595755,1,You may publish my anonymized report,,
10/28/20 23:26,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,"Blue/white with a trail, lightening was all around, so difficult to gauge brightness.",It was tens of metres away from where I stood and looked larger than a baseball.,"It was too far away to smell.  There was no sound, but there was a bizarre storm, the March 1993 storm in Florida, so there were so many sounds that they could have obscured the floating orb's noise.","It was outside during the March 1993 storm in Florida.  I was just a few blocks from the Gulf of Mexico.  The storm hit unexpectedly.  I put my kids in the centre of the concrete house for protection.  Suddenly, the house began shaking like something was pounding the side facing the Gulf, which is the backyard where the swimming pool was located.  I told the kids to stay in the enclosed area and I went outside.  The orb floated from right to left leaving a trail on the other side of the pool but inside our property line.  I thought that it was possible that it was so bright that I was perhaps seeing the types of streaks of light like those seen following an extremely bright object.  It seemed to be a blue/white sphere, blue in the middle and slightly white on the outside.  It moved very slowly from north to south about 2 metres above the ground and covered about not more than 5 metres before ""winking out"" (disappearing-no sound or anything).  When it disappeared, I ran back inside waiting for the storm to pass with my kids.  ","It was not raining at the time, there was electrical activity all over the sky and the wind was blowing.  Strangely, the wind did not seem to affect the orb's motion.  If you want the exact weather conditions, please look for the weather at 8132 128th St North, Seminole, FL on 12 March 1993.","Outdoors. Suburban (8132 128th St North, Seminole, FL).  Standing on the patio opening to the pool in the backyard...you should be able to see it with Google Maps if still there.  The orb was floating about 2 metres above the ground on the other side of the pool.  It was headed for a tree, but disappeared before getting there.",12 March 1993 around midnight (or 13Mar1993 about 00:01 )00:01),1993,3/13/93 0:00,"8132 128th St North, Seminole, FL, backyard",27.84663913,-82.81528477,0,You may publish my anonymized report,,
11/2/20 13:04,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,"Yellow, bright, but not illuminating the surrounding","round, size of the sun, but close to the ground",It was outside and I could hear/smell/feel anything,"Sharp edges, just floated a few inches over the ground (hard to judge since it was dark outside)","Dark sky, no obvious storm anywhere close by",outdoors in our backyard,"Late September 2020, on a Saturday, between 8.30PM and 9PM",2020,,"271 Vineyard Point Road, Guilford, 06347 CT, USA",41.25337702,-72.69391398,0,You may publish my anonymized report,,
11/11/20 6:31,Yes -- RS responded,"I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!), I have e-mailed physical evidence",3 to 4 seconds,Lightening colored turning into gold and almost as bright as a shooting star,Is this based in distance? It was about 300 feet from me and high in the sky. So appeared about the size of a walnut,Gunpowder smell. Silent. Im hard of hearing so idk if there was a sound,I’m still not sure what I saw. But basically it was following a severe lighting storm. And I thought I saw a shooting star. And thought to make a wish but then it looked like it hit the inside of a bubble. I could see the arc of the inside of the bubble all gold but also the iridescence inside sphere as the ‘shooting star’ struck the inside of the orb creating a giant glowing bow about 25 feet tall and instantly disappearing. ,I went out to see the comet this summer. A sever thunderstorm was just passing to the south. It was a great lighting even so I took photos. To the northwest the neowise comet was supposed to appear. And what I saw appeared in the due north sky. It was clear where I saw my phenomenon and the storm that just passed was roughly 15-30 miles away,Outdoors. Rural. Over my orchard ,I think it was July 24th. Around 8pm. It was when I could see neowise the best,2020,,"2155 ritner hwy, shippensburg, pa, 17257",40.11291801,-77.41322897,0,You may publish my anonymized report,,
11/11/20 14:24,Yes -- RS responded,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,a glowing white ball about 5 feet away in the living room of my house.  I was in my mid teens (now am 73).,basketball shape and size,nothing but the glow,it was about 4 feet from the floor and 2 feet from the ceiling,"cloudy, summer day",appeared in my 1 floor home.  Then disappeared,"1961  I have always been pretty sure that this was a hallucination.  I feel that people under stress, like having a relative die, will move their head or mistake a visual input for something they want, or fear.    Just like ""ghosts"" and ""spirits"" that people claim or report that they saw.  I feel that these are products of emotion and hope and other psychological activities.  (I just read the May 17, 2010 article in New Scientist---Mysterious ball lightning may be a hallucination)   Maybe the physic researchers should join up with psychiatrists.",1961,,"2 hemlock drive, Pleasantville, NY 10570, USA",41.12736562,-73.75029814,0,Show it to me before your publish it.,,
11/16/20 4:03,"No, I heard it from the primary observer (Nobel Prize winner Robert S. Mulliken), also in his autobiography ""Life of a Scientist""",I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),Not clear from the book passage,"The color was yellow, which R. S. Mulliken atttributed to ""active nitrogen"" ",6-8 inches in diameter,"It is not in the book, but R.S. Mulliken mentioned he smelled ozone to me.","From the autobiography, page 79: ""During the storm, a glowing yellow ball about six or eight inches in diameter meandered in through the open window and poised for a moment beside our bed, then faded away quickly....""","There was a thunderstorm, no more information however.","In south Chicago (city), R. S. Mulliken saw the ball float in through the open bedroom window and stop before disappearing",1930 or 1931 at night (R.S. Mulliken was in bed),1930,,"Dorchester Ave, South Chicago (in or near Hyde Park)",41.772281,-87.59116,1,Most of the report is published as stated above. The reference to the smell of ozone is my memory of his telling me the story. That can be published,,
11/23/20 11:16,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),one to two minutes,Orange and bright,Round and the size of a basketball,"No smell, sound or heat",It came through the screen door and moved through the living room at a level of 4ft high and straight into the open kitchen and then disappeared.,I believe there was a rainstorm,It was only noticed indoors in a cottage in a beach community.  Power lines were nearby,"Summer in the early 1950s in Higgins Beach, Portland, Maine",1951,,"Originally known as Hiawatha, on Morning St. Higgins Beach, Portland,  Maine. ( Cottage located at the top of a hill)",43.561855,-70.278236,1,You may publish my anonymized report,,
12/11/20 10:52,No,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,"dim bulb, slightly yellowish off white color",no larger than a softball,"no sound, smell or heat noted","Traveled across dining room in a straight line at less than 1 m/sec, about 2 m off the floor, starting from outdoor wall (did not observe initial entry into room). Either dissipated or passed through wall on far side of room. Light not that bright, but appeared to be an opaque core surrounded by a fuzzy ""atmosphere.""  No scorch marks on wall.","Was mid-winter, probably 1981-82, in  central St. Paul, MN. Late afternoon. No thunderstorms. May well have been an exceptionally cold/dry windy winter day. No active humidification in house so indoor RH may have been very low","Indoors. Home on street corner in neighborhood of older, large single family homes (subject home built in 1895). Power lines buried. Observation reported by wife.","Mid-winter, probably 1981-82, late afternoon.",1981,,"622 Lincoln Avenue, St. Paul, MN",44.93862102,-93.12646099,0,You may publish my anonymized report,,
1/9/21 8:58,Yes,I have physical evidence but I have not sent it.,5 to 8 seconds,Bright enough to appear pure white with no obvious other colours.,Size of a soccer ball,no smell or sound detected as I was too far away.,The ball originated at the top of a power line pole after a lightning strike. It stayed at to top of the pole for a few seconds and then dropped to the ground slower than if it was being pulled down by gravity. When it fell it landed on a barbed wire fence which then clearly burnt up along a length of a few hundred feet. I saw orange sparks explode out of the barbed wire at intervals and progressively as the energy passed along it and melted it possibly at each post. The ball was too bright to be sure but it looked like it was fuzzy-edged not clearly delineated. There were sparks though these may've been from the burning of electric wires on the pole. ,Summer thunderstorm active above me. I was watching the lightning.,Outdoors and rural. Lightning hit the power line and the ball appeared. I was a few hundred meters away.,1982 - summer. The precise time entered below is not correct but I my have the precise time if I can find my diary!,1982,7/22/82 19:00,"Rural farm, 15 mins south of Charles City Iowa. I can get the precise location if needed.",,,,Show it to me before your publish it.,,
1/14/21 6:30,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),5 to 8 seconds,,A small ‘ball’ (~5-6” diam) ,"Don’t recall smell, but deafening ‘pop’ when the ‘ball’ expired. ","During thunder storm in a fire tower on mountain in Maine (early 1980’s). Plasma-like orangish white  ‘ball’ appeared running around the edge of the azimuth/fire finder inside, closely hovering rather than closely touching the metal rim. Lasted 4-6 seconds (around a few times on rim), then popped with a deafening explosion (inferior of the observation structure was small and enclosed). I remember my hair felt staticky. Observed a similar apparition several years later inside a small greenhouse under similar weather conditions. Smaller ‘ball’, white, faster, zipped along the metal roof joists before popping. Scared the cat which yowled and ran hiding under a couch in the attached house.","Thunderstorm without rain. Was during mid to late summer in afternoon. Lightning stuck nearby, with a deafening ‘clap’ rather than rolling thunder. ","Indoors, both occasions. Firetower on granite top of Streaked Mountain in Maine. Greenhouse/house in rural Maine on hillside.","Both events in mid-summer, but don’t recall exact month. ",1982,,"Mountain and farmhouse In the general area of Buckfield, Maine.",44.2896,-70.36504,2,You may publish my anonymized report,,
3/31/21 7:50,there were two observers,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds,"a ball of white light approximately the size of a basketball coming toward me horizontally in the night, then hovering 30 feet from me, then moving on horizontally up and over a garage and vanishing into the woods.",constant size and size of a basketball,"no odor, no sound",I was outside. It was night. The white ball of light approached from my left across the road and traveled more of less horizontally from left to right. It stopped near me and hovered for some seconds -- long enough for me to call a friend outside to see it which she did -- then it moved on to the right up and over a garage and out of sight,"warm summer night near midnight,  maybe a clear night i'm not sure ",outdoors in the semi-populated countryside of NE Connecticut near wooded area ,It was night maybe around midnight in July or August -- I cannot remember specific date or time August 1970 or 1971,1970,,"910 Bolton Road, Vernon, CT",41.80363008,-72.4391855,0,You may publish my anonymized report,,
3/31/21 8:59,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,white ball approximating lightning,approx 2' around,heard odd lightning sound-less powerful than lightning strike but loud nonetheless,"saw ball lighting hit road approx 75 yards away, it bounced on road 2-3 times, was fuzzy at edges, then dissapated. ","unstable atmospheric conditions but no other lightning or rain, was partially cloudy","rural gravel road,  power lines follow the road",llate afternoon in the mid 1980's in June or July,1985,,"Weir, TX",30.67477,-97.58643,1,You may publish my anonymized report,,
3/31/21 9:02,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),3 to 4 seconds,very bright white and silverish ,it was the size of a cantaloupe,"I assume it was a sound that woke me up, but I don't recall it.  there was that ozone smell/feel after the fact and I had a full body rush of hair-on-end chill bumps after it disappeared.","I was asleep in the main room of my house.  there was a wood stove in the corner opposite the bed-with no fire in it and the door of the stove closed.  something wakened me abruptly, and I saw a cantaloupe-sized ball of light come down the outside of the stove pipe very quickly, hit the top of the stove and shoot straight out at a 90 degree angle into the room.  I tried to follow it's trajectory past the foot of my bed but it vanished.  There is a door with a window in it at the spot where it disappeared, but it left no marks and I couldn't see it pass through because it happened so quickly-it was just there then gone.  it left an impression on my sight for quite awhile afterward. That impression was gold and reddish, tho the ball itself was  cold silvery white and fuzzy around the edges.","It was early spring in Georgia when the weather is often stormy and changeable, but it wasn't raining that morning.  it was still dark so I couldn't see clouds or other conditions outside, but it was chilly.  ","It was in the house, but the house is in the country, with no other houses around.  the transformer that supplies power is about 100 yards downhill from the house, with the main line attached at the corner of the room opposite and about 15 feet away from the woodstove, and grounded below that.",late march or early april several years ago,,,"94 turner hill rd/carlton, ga/30627",34.00297302,-83.01353002,0,You may publish my anonymized report,,
3/31/21 9:56,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,"Very bright, like a spotlight, and greenish.",It was about the size of a soccer ball,"I was about fifty feet away, inside of a car, and could not therefore hear or smell anything","Lightning struck the railing of a freeway overpass as I was about to drive under it. After the strike, ball lightning appeared next to the bottom of the railing and traveled alongside it at about walking pace for a second or so, then vanished.","This was during a severe thunderstorm, just after we had passed through a few hundred feet of a torrential downpour. It was night-time, mid-September.","This occurred outdoors on top of a freeway overpass, next to the railing which had just been struck by lightning.","Mid-September, 1986, in the early evening.",1986,,"North of Redding, California on I-5",40.5876,-122.39255,2,You may publish my anonymized report,,
3/31/21 10:19,No,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),secondhand report.  She described watching it travel but I don't know how long.,,,,"My mother talked about seeing ball lightning in her kitchen when she was a kid.  They lived in a farmhouse on the outskirts of St. Joseph, Missouri.  It was then rural.  She described it as entering through a light fixture and  traveling across their kitchen ceiling.  She died in 2014.  ",,rural Missouri in the 1940's,1940's,1945,,,38.36798275,-92.47774662,3,You may publish my anonymized report,,
3/31/21 10:29,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds,Bright yellowish white sphere with an aura and slight tail/trail that was less intense and more yellowish than the pure white center.,"Larger than a grapefruit, smaller than a basketball.",We heard and felt nothing (we were in the car).,"We were driving a neighborhood road near home. There’s a dip where the road turns. We saw it on the left side of the road and stopped the car. It slowly wandered across the street and up the hill, floating maybe two feet above the ground and following the contour of the hill at about that level.","It was a dark evening with thick cloud cover; it wasn’t windy or raining yet, but it did later on a bit.","Outdoors, along a road in a suburb of Seattle. The road where it crossed had bushes and trees on either side.","I think it was autumn, and it would have been the mid 1990s.",1995,,"Woodinville, Washington (unincorporated King County). The bend in the road where 174th Ave NE turns into 165th St. I’ve never driven past it without remembering in awe.",47.747063,-122.106337,0,You may publish my anonymized report,,
3/31/21 11:09,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),8 to 15 seconds,"Bright, but not blinding, off-white toward yellow",1.5 ft. diameter ball,"No sound, smell, or heat.  When it disappeared into the road 25 ft. in front of me, my hair stood on end (electrically, not from surprise).","I was a child, maybe 11 or 12 (~1960), growing up in Northern Virginia, and was playing down the road from our house on a summer afternoon.  The sky darkened; clearly a thunderstorm was coming.  I ran home down the asphalt road, with my dachshund running just ahead of me.  It was raining hard behind us, with a clear line where the road was wet, and the rain was gaining on us.  Just as we were reaching our driveway, a 1.5 ft diameter glowing ball floated slowly down from the sky in front of us, where the rain was not yet falling.  I first noticed it when it was 20 ft above the ground.  The dog barked at it.  It fell at ~4 ft./sec., hit the dry road, and bounced up about 5 feet, then hit the still-dry road again, at which point it disappeared into the road.  All my hair stood on end.  Just then the rain caught us, and I got soaked in the 10 seconds or so it took my to get to my house.",,"Outdoors, suburb (Annandale, VA), wooded 2-3 acre lots.","Summer of 1960, afternoon (sorry about the specific time, but it was 60 years ago!)",1960,,"4721 Columbia Rd, Annandale, VA",38.82084776,-77.17664674,0,You may publish my anonymized report,,
3/31/21 11:16,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds,A bright ball of light floating horizontally ,Perhaps the size of. Basketball,It was silent and followed the wire fence line ,"It appeared out of nowhere and it was dusk or darker outside. my cousins and I all saw it slowly float horizontally along the barbed wire fence line, in the country at my grandmothers house. I looked toward the road to see if it was a car headlight reflection or something explainable. There was nothing to explain it. We all screamed and ran into the house because we thought it was a ghost or something. It was 1970 and I was about 10. ","It was warm, we were playing outside. I do not recollect any storms in the area. It was probably late spring or summer. ","It was in Rural Arkansas in 1970. It hovered above and followed horizontally the barbed wire fence at the edge of my grandmothers property. It did not enter the house which was the only building nearby, because I believe it was too far away. Maybe 25 yards from the house. ",It was 50 years ago. The date and time are lost. But I believe it was late spring or early summer at dusk .,,6/6/70 20:30,"Bethesda Road , Mena Arkansas ",34.568707,-94.240612,1,You may publish my anonymized report,,
3/31/21 11:39,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),30 seconds to a minute,"white with a blue hue, 40-60 watt bulb","round, basketball","a soft crackling/humming sound, no smell or heat","fuzzy edges, hovered in one place about 20 feet in the air over a small pond",humid summer night in south Georgia,"outdoors, rural farm pond, it was relatively near a small shed on an island in the pond, also relatively near a pole light over a dock at the pond",summer night in the mid 1980s,1985,,"farm pond about 3 miles south of the City of Homerville, GA",30.993166,-82.741822,2,Show it to me before your publish it.,,
3/31/21 12:17,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),1 to 2 seconds,Bright white/light blue,Size of a honeydew melon ,"There was a light smell, can’t define it; crackled on appearance and disappearance- almost instantaneously appeared and disappeared ","I lived at 304 E. 178 Street, Apt 4D, Bronx, NY and our living room window is where it showed up traveled from the window inwards into the living room briefly and disappeared in a second or two and wildly it was followed shortly after by another one which appeared smaller and also just lasted a second or two; both appeared quickly, unexpectedly, moved very slightly inwards and disappeared almost as fast as they disappeared.",Thunderstorms ,Indoors ,"I was maybe 11 or 12 or 13; 1972,1973,1974. Can’t  remember month or date.",1972,,"304 E. 178 Street, Apt. 4D",40.84999301,-73.90269621,0,You may publish my anonymized report,,
3/31/21 12:22,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),15 to 30 seconds,"VERY BRIGHT WHITE, PERFECTLY CIRCULAR, ALMOST PAINFUL TO LOOK AT","CONSTANT SIZE, APPEARED TO BE DESCENDING, SITUATED ABOVE A MUCH DIMMER, MORE DIFFUSE CLOUDLIKE OVAL SHAPED AREA.  BRIGHT BALL PORTION WAS APPROX 30FT IN DIAMETER.",COULD HEAR VERY STRONG STATICKY SOUND IN THE EARPHONES I WAS WEARING.  NO SMELL OR TEMPERATURE CHANGE DETECTED.,"BALL PORTION WAS PERFECTLY CIRCULAR.  OVAL PORTION WAS MUCH LARGER & MORE DIFFUSE IN COLOR, ALTHOUGH STILL GEOMETRICALLY SHAPED, UNLIKE A CLOUD.","LATE SPRING/EARLY SUMMER, CLEAR SKY, LOW HUMIDITY, 60-70 DEGREES, NO THUNDERSTORMS IN THE AREA, NO RUMBLES OF THUNDER, CALM WIND.","OUTDOORS IN OPEN FIELD, SUBURBAN AREA, AWAY FROM POWER LINES, FOOTBALL FIELD OBSERVATION TOWER MAYBE 200 YDS AWAY IN A DIFFERENT DIRECTION.  WALKING TOWARD SOUTHWEST WHEN ATTENTION WAS DRAWN BY A VERY INTENSE BURST OF STATIC AUDIBLE THRU MY SONY WALKMAN HEADPHONES, CAUSING ME TO JERK MY BODY AROUND TO THE NORTHWEST WHERE I OBSERVED WHATEVER IT WAS.  I HEARD IT BEFORE I SAW IT, WAS DISTRESSED BY THE SIGHT & HURRIED AWAY. IT WAS NOT A SUNSET--DIFFERENT DIRECTION.  THERE WAS NO REMNANT OF THE STATIC LEFT ON THE TAPE I WAS LISTENING TO.","CIRCA MAY/JUNE 1985, APPROX. 6:00 PM",1985,,"LEE ROAD, GROUNDS OF LEE ROAD SCHOOL, CORNWALL, ORANGE COUNTY, NY 12518",40.2752,-76.41371,1,You may publish my anonymized report,,
3/31/21 12:36,Yes,I have no physical evidence.  This is by far the most common case.  (Your observations even w/o other evidence are EXTREMELY USEFUL!),About 1-2 seconds,glowing white ball,size of a grapefruit or melon,"silent, odorless","Came in through the window, moved down the hall in a straight path and vanished into the bathroom. My mother was on one side of the hall and I was on the other. We both saw it as it moved through the space between us. It left no mark where it vanished.",During a thunderstorm in September,Originated outdoors and moved indoors. Location was in a suburban residential neighborhood. Power lines were underground in immediate vicinity; other power lines on the street were about 100 feet away.,"mid-September, in the middle of the night",,,"12100-73 Montecito Road, Los Alamitos, CA",33.787,-118.074113,0,You may publish my anonymized report,,
